ID,Épica,Módulo,Historia/Requerimiento,Tarea,Capa,Descripción,Criterios de aceptación,Prioridad,Responsable,Dependencias,Estado,Estimación (h),Riesgo,Evidencia,Bloque,ADR origen
FND-BD-01,Plataforma de datos,Infraestructura BD,"Como equipo de desarrollo necesito que todo cambio de esquema sea reproducible entre entornos, para no depender de un volcado manual.",Crear migración: adoptar migraciones versionadas y baseline del esquema,BD,Incorporar una herramienta de migraciones versionadas al backend y generar la migración baseline a partir de database/bdintervewebpack.sql (14 tablas). Declarar el volcado de Navicat como artefacto histórico y prohibir cambios manuales al esquema.,1) Una base de datos vacía llega al esquema actual ejecutando solo migraciones 2) Cada cambio posterior es un archivo versionado con up y down 3) El pipeline de CI ejecuta las migraciones sobre una BD limpia y falla si alguna no aplica 4) El volcado de Navicat deja de ser la fuente de verdad y queda marcado como histórico,Crítica,Dev BD,-,Pendiente,16,Medio,"PR con carpeta de migraciones, log de ejecución sobre BD limpia y job de CI en verde",Fundación,"ADR-0003 B6, 0011 B14, 0013 B10, 0027 B11"
FND-BD-02,Plataforma de datos,Transversal CORE,Como área contable necesito que los importes no pierdan centavos por el tipo de dato.,Crear columna: fijar la convención monetaria DECIMAL de todo el CORE,BD,Definir y documentar el tipo y la precisión de importes y porcentajes (DECIMAL con precisión y escala fijas) antes de crear la primera tabla del CORE. Hoy el esquema no tiene ninguna columna monetaria ni convención de precisión.,"1) Documento de convención aprobado con precisión y escala para importes, porcentajes y tarifas 2) Ninguna columna monetaria declarada como FLOAT o DOUBLE 3) Plantilla de migración que aplica la convención 4) Regla de revisión de código que rechaza un PR que la incumpla",Crítica,Dev BD + Tech Lead,FND-BD-01 DEC-06,Pendiente,8,Alto,Documento de convención en docs/ y plantilla de migración en el PR,Fundación,"ADR-0016 B3, 0020 B6, 0026 B7"
FND-BD-03,Plataforma de datos,Conexión MySQL,Como usuario necesito que las fechas de vigencia y los cálculos de estado no cambien según la zona del servidor.,Modificar configuración: zona horaria explícita en la conexión y en la sesión,BD,"Declarar la zona horaria en la configuración del pool de MySQL y en la sesión de cada conexión, de modo que NOW() y todo cálculo de vigencia sean deterministas. Hoy es implícita.",1) La zona horaria está declarada en la configuración del pool y es la misma en todos los entornos 2) Una prueba compara la fecha del servidor de aplicación con NOW() de la BD y exige coincidencia 3) El valor está documentado en el README de despliegue,Alta,Dev BD,FND-BD-01,Pendiente,4,Bajo,PR de configuración y prueba automatizada de coincidencia de fecha,Fundación,"ADR-0002, 0013 B8, 0015 B13, 0018 B7"
FND-BD-04,Plataforma de datos,tbl_status,Como desarrollador necesito comparar estados por clave simbólica y no por un número escrito en el código.,Crear migración: sembrar tbl_status con clave simbólica y ampliar sta_scope,BD,"Sembrar y versionar los datos de tbl_status con sta_key y sta_color, y ampliar el enum de sta_scope para admitir el ámbito de contratos y de facturas. Hoy la tabla no tiene datos sembrados y los estados viven codificados en el código.",1) Los cuatro estados de contrato y los tres de factura están sembrados con sta_key y sta_color 2) La migración de semillas es idempotente y se puede reejecutar 3) Ninguna consulta ni servicio compara estados por identificador numérico literal 4) El defecto del sta_id = 4 inexistente queda corregido,Crítica,Dev BD,FND-BD-01,Pendiente,6,Bajo,Migración de semillas y búsqueda en código sin literales de estado,Fundación,"ADR-0013 B14, 0017 B4 B5 B7, 0001 B13"
FND-BD-05,Autorización,tbl_pages / tbl_permissions,Como administrador necesito que el catálogo de páginas y permisos sea un dato versionado y no un archivo del frontend.,Crear migración: sembrar y versionar tbl_pages y tbl_permissions,BD,"Sembrar el catálogo de páginas y permisos como datos versionados con el código. Hoy el volcado no contiene datos y el catálogo solo existe, implícitamente, en permissionsConfig.js del cliente.",1) El catálogo completo está sembrado con claves estables y descripción 2) La migración es idempotente 3) permissionsConfig.js deja de ser la definición del catálogo 4) Cada permiso sembrado corresponde a una funcionalidad existente o planificada,Alta,Dev BD,FND-BD-01,Pendiente,8,Bajo,Migración de semillas y comparación contra permissionsConfig.js,Fundación,ADR-0014 B14 B7
FND-BD-06,Auditoría,Esquema completo,Como auditor necesito que el autor registrado en cada fila sea un usuario real del sistema.,Validar integridad y crear FK de las columnas de autoría a tbl_users,BD,Depurar valores inválidos en las columnas de creación y actualización por usuario y declarar clave foránea a tbl_users.use_id. El esquema actual no impide que apunten a un usuario inexistente.,1) Consulta de depuración ejecutada y su resultado documentado antes de crear la FK 2) FK declarada en las siete tablas que ya tienen el patrón de cuatro columnas 3) La creación de la FK falla de forma controlada si quedan valores huérfanos 4) Migración con rollback probado,Media,Dev BD,FND-BD-01,Pendiente,10,Medio,"Script de depuración, su salida y la migración de FK",Fundación,ADR-0013 B4
FND-BD-07,Auditoría,Esquema de negocio,"Como auditor necesito saber quién eliminó un registro y cuándo, sin que ese rastro se sobrescriba.",Crear columna de eliminación por usuario y fecha en las tablas de negocio,BD,"Añadir columnas de eliminación a las tablas del dominio de negocio, pobladas en la eliminación lógica. El estado sta_id = 3 sigue determinando la visibilidad; estas columnas conservan la evidencia del evento.","1) Las tablas de negocio tienen las dos columnas con FK del autor a tbl_users 2) La eliminación lógica las puebla dentro de la misma transacción 3) Ninguna operación posterior las sobrescribe 4) Las tablas de catálogo estable quedan exentas, según el alcance declarado",Media,Dev BD,FND-BD-01 FND-BD-06,Pendiente,8,Bajo,Migración y prueba de eliminación lógica que verifica las columnas,Fundación,ADR-0013 B5
FND-BD-08,Auditoría,Bitácora funcional,Como auditor necesito el valor anterior y el nuevo de cada cambio sobre información crítica.,Crear tabla de bitácora de auditoría funcional,BD,"Crear la tabla de bitácora con entidad, identificador de registro, campo, valor anterior, valor nuevo, operación, usuario y fecha. Se escribe desde la capa de servicio y nunca mediante disparadores, porque el servicio conoce el usuario de la sesión y el contexto de negocio.",1) Tabla creada con índice por entidad y registro para consultar el historial 2) FK del usuario a tbl_users 3) No se declara ningún trigger sobre las tablas auditadas 4) Los registros de bitácora no admiten actualización ni borrado desde la aplicación,Alta,Dev BD,FND-BD-01 FND-BD-06,Pendiente,10,Medio,Migración de la tabla y consulta de historial de ejemplo,Fundación,ADR-0013 B2
FND-BD-09,Seguridad,Seguridad y autorización,Como administrador necesito que no puedan existir dos usuarios con el mismo correo ni permisos duplicados.,"Crear UNIQUE en use_user, use_email, pro_name y tablas de unión",BD,"Aplicar restricciones UNIQUE sobre tbl_users.use_user y use_email, tbl_profiles.pro_name y los pares de perfil-permiso, usuario-permiso y perfil-página. Hoy el esquema no tiene ninguna restricción UNIQUE, lo que permite duplicados por concurrencia.",1) Depuración de duplicados existentes ejecutada y documentada antes de aplicar 2) Las seis restricciones aplicadas por migración 3) Una inserción duplicada devuelve ER_DUP_ENTRY y el backend responde 409 4) Prueba de concurrencia que intenta dos registros simultáneos con el mismo correo,Alta,Dev BD,FND-BD-01,Pendiente,8,Medio,"Script de depuración, migración y prueba de concurrencia",Fundación,"ADR-0001 B12, 0014 B12"
FND-BD-10,Seguridad,Autenticación OTP,Como usuario necesito que el registro y la verificación por código funcionen.,Crear tabla otp_codes o retirar el autorregistro,BD,"El backend consulta y escribe en otp_codes, una tabla que no existe en el esquema: el registro y la verificación fallan. Decidir si se crea con hash del código, expiración y contador de intentos, o si se retira la funcionalidad de autorregistro.","1) Decisión tomada y registrada 2) Si se crea: almacena hash y no el código en claro, con expiración, contador de intentos y un único código vigente por usuario 3) Si se retira: el código muerto del servicio y las rutas asociadas desaparecen 4) El flujo elegido queda cubierto por una prueba",Alta,Dev BD + Dev Backend,FND-BD-01,Pendiente,6,Medio,Migración o PR de retiro y prueba del flujo,Fundación,ADR-0001 B10
