ID,Decisión,ADR,Motivo / detalle,Impacto,Prioridad,Responsable,Tareas que bloquea
DEC-01,Cómo se factura el avance de obra durante la ejecución,ADR-0021,"La factura de liquidación se asocia al otrosí de liquidación, por lo que durante EN EJECUCIÓN la única factura de contrato es la de anticipo. No existe mecanismo para facturar avance.",Operación de contratos largos y costo ejecutado del dashboard,Crítica,Área usuaria + Analista funcional,PRO-BD-13 PRO-BE-25 PRO-FE-11
DEC-02,"Composición de la factura simple: lectura A o B, bases, flete, pronto pago","ADR-0023, 0026",No hay fórmulas en el código. El orden de la pantalla es ambiguo: P1 a P5 y P9 de ADR-0026.,"Tributario, en todas las facturas simples",Crítica,Área contable y tributaria,PRO-BE-33 PRO-BE-36 PRO-QA-03
DEC-03,"Composición de la factura de liquidación: VALOR con o sin AIU, IVA sobre utilidad o base","ADR-0021, 0026","Puntos abiertos P6, P7, P8 y P11 de ADR-0026.","Tributario, en todas las facturas de contrato",Crítica,Área contable y tributaria,PRO-BD-18 PRO-BE-26 PRO-BE-36 PRO-QA-03
DEC-04,Base de cálculo por tipo de póliza y significado de SUBTOTAL / IVA,"ADR-0018, 0019","Dominio cerrado propuesto: COSTO_DIRECTO, BASE_GRAVABLE, VALOR_TOTAL, SOLO_IVA. Debe confirmarse cuáles se usan.",Hasta 19 % de diferencia sobre el valor asegurado,Alta,Área usuaria + Aseguradora,MAE-BD-13 MAE-BD-14 MAE-BE-10 PRO-BD-20 PRO-BE-21
DEC-05,Base y porcentaje por defecto de anticipo y retenido,"ADR-0024, 0025","Los conceptos pactan porcentajes distintos; el porcentaje efectivo propuesto es A/B y RP/B.",Cierre de los saldos C2 y C3,Alta,Área usuaria + Área contable,PRO-BE-29 PRO-BE-31
DEC-06,"Precisión, redondeo y librería decimal o enteros",ADR-0026,"El cliente formatea importes con y sin decimales, lo que confirma que la regla no está decidida. Punto P12.",Cierre exacto de saldos en todo el CORE,Alta,Área contable + Tech Lead,FND-BD-02 FND-BE-28 PRO-FE-14 PRO-QA-03
DEC-07,"Retenciones tributarias como tasa o como valor; tarifas por defecto","ADR-0023, 0026","Debe ser una de las dos para todos los tipos de factura, nunca una mezcla. Punto P10.",Motor de cálculo completo,Alta,Área contable y tributaria,PRO-BD-22 PRO-BE-36 PRO-QA-03
DEC-08,Cantidad y límite de valor de las facturas de liquidación,ADR-0021,Invariante I5 propuesta: suma de VALOR de liquidaciones aprobadas no supera la base vigente antes de IVA.,Facturación por encima de lo pactado,Alta,Área usuaria,PRO-BE-26
DEC-09,Hipótesis H1 a H7 de facturación de subcontratista,ADR-0022,No se halló ninguna regla que diferencie la facturación de subcontratista de la de contrato mayor.,Estructural si se confirman H1 o H5,Alta,Área usuaria,PRO-BE-40 PRO-QA-05
DEC-10,"Naturaleza del tipo de proveedor: clasificación, comportamiento, jerarquía o tipo contractual",ADR-0010,Es el error más costoso de corregir después. Bloqueante para el maestro.,"Determina si el atributo vive en el proveedor, en la relación proveedor-obra o en el contrato",Alta,Área usuaria,MAE-BD-04 MAE-BD-11 MAE-BE-05 PRO-BD-08
DEC-11,Tope de retenido acumulado (invariante I4),ADR-0025,I4 exigiría R ≤ RP. Se deja pendiente porque facturar por encima de lo pactado podría justificar retener sobre el exceso.,Retención por encima de lo pactado,Media,Área usuaria,PRO-BE-31
DEC-12,Semántica de la fecha de vencimiento del contrato,ADR-0015,Hasta que se defina el campo NO debe implementarse: un campo sin semántica se llena con criterios distintos por cada usuario.,Alertas e indicadores,Media,Área usuaria,PRO-BD-09
DEC-13,Unidad del plazo frente a frecuencia,ADR-0015,"Los valores de frecuencia (días, meses, años) son los mismos de la unidad. Se propone un único atributo.",Duplicación de datos en el contrato,Media,Área usuaria,PRO-BD-09
DEC-14,Efecto de la suspensión sobre el plazo contractual,"ADR-0015, 0017",Se propone que la suspensión detenga el cómputo y desplace la fecha fin al levantarla.,Cálculo de la fecha fin,Media,Área usuaria,PRO-BE-10
DEC-15,Condiciones C7 (informe de interventoría) y C8 (pólizas) para liquidar,ADR-0017,No hay evidencia de si son requisitos de cierre o controles paralelos.,Cierre de contratos,Media,Área usuaria,PRO-BE-17
DEC-16,"Estados adicionales de factura: contabilizada, pagada, rechazada","ADR-0020, 0027","Se adoptan solo REGISTRADA, APROBADA y ANULADA por falta de evidencia.",Flujo e inmutabilidad de la factura,Media,Área contable,PRO-BE-23
DEC-17,Ámbito de unicidad del número de contrato y del número de factura,"ADR-0015, 0020","Propuesto: contrato único por obra, factura única por proveedor. La alternativa es unicidad global.",Integridad y duplicados,Media,Área usuaria,PRO-BD-09 PRO-BD-14
DEC-18,"Otrosí de liquidación con costo negativo; anticipo como porcentaje o valor fijo",ADR-0016,"Debe ser porcentaje o valor, nunca ambos almacenados.",Cálculo del valor vigente del contrato,Media,Área usuaria,PRO-BD-11 PRO-BE-16
DEC-19,"Permisos de ajuste de amortización y retenido, y permisos por tipo de factura","ADR-0020, 0024, 0025",Apartarse del valor por defecto exigiría AJUSTAR AMORTIZACIÓN y AJUSTAR RETENIDO.,Segregación de funciones,Media,Área usuaria + Seguridad,PRO-BE-30 PRO-BE-32
